Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,biosample_uid,biosample_accession_returned,biosample_title,biosample_organism,geo_loc_name,geo_country,geo_region_area,lat_lon,collection_date,isolate,cultivar,ecotype,tissue,biosample_status
SRR31829833,2024-12-26 04:57:07,2024-12-26 04:55:16,24364907,7309472100,24364907,300,2258,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31829/SRR31829833/SRR31829833.lite.1,SRX27190236,P2:xuwen,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP553840,PRJNA1203071,,1203071,SRS23641865,SAMN45970257,simple,55571,Dioscorea alata,P2:normal growth,,,,,,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES,SRA2041212,,public,CE5117521D9E1A4989DD371596DA17C4,387DBB426EBE5DA740EC054B6CACAD40,45970257,SAMN45970257,Plant sample from Dioscorea alata,Dioscorea alata,China:guangzhou,China,guangzhou,,2020,,xuwen,,tuber root,ok
SRR31829832,2024-12-26 04:57:15,2024-12-26 04:55:12,23397575,7019272500,23397575,300,2137,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31829/SRR31829832/SRR31829832.lite.1,SRX27190237,P3:xuwen,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP553840,PRJNA1203071,,1203071,SRS23641866,SAMN45970258,simple,55571,Dioscorea alata,P3:normal growth,,,,,,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES,SRA2041212,,public,5549EF1704B683CA3531B9D4A8D46CF3,76639BF826E0689089F3A70E64371D2B,45970258,SAMN45970258,Plant sample from Dioscorea alata,Dioscorea alata,China:guangzhou,China,guangzhou,,2020,,xuwen,,tuber root,ok
SRR31829831,2024-12-26 04:57:07,2024-12-26 04:54:59,23851353,7155405900,23851353,300,2174,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31829/SRR31829831/SRR31829831.lite.1,SRX27190238,W1:luhe,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP553840,PRJNA1203071,,1203071,SRS23641867,SAMN45970259,simple,55571,Dioscorea alata,W1:normal growth,,,,,,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES,SRA2041212,,public,E5D5489138A2BADF4C25ECC946CFB21E,E7A0B3B6FFC721866D5ABE2FDE16C146,45970259,SAMN45970259,Plant sample from Dioscorea alata,Dioscorea alata,China:guangzhou,China,guangzhou,,2020,,luhe,,tuber root,ok
SRR31829830,2024-12-26 04:57:07,2024-12-26 04:54:59,23297565,6989269500,23297565,300,2123,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31829/SRR31829830/SRR31829830.lite.1,SRX27190239,W2:luhe,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP553840,PRJNA1203071,,1203071,SRS23641868,SAMN45970260,simple,55571,Dioscorea alata,W2:normal growth,,,,,,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES,SRA2041212,,public,2E8CFEE1CA10387A15BAF76B283EC11C,7EFFE8A0CB882123617BCFD25FF9FA62,45970260,SAMN45970260,Plant sample from Dioscorea alata,Dioscorea alata,China:guangzhou,China,guangzhou,,2020,,luhe,,tuber root,ok
SRR31829829,2024-12-26 04:57:07,2024-12-26 04:54:54,23167789,6950336700,23167789,300,2131,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31829/SRR31829829/SRR31829829.lite.1,SRX27190240,W3:luhe,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP553840,PRJNA1203071,,1203071,SRS23641869,SAMN45970261,simple,55571,Dioscorea alata,W3:normal growth,,,,,,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES,SRA2041212,,public,2A968DF15DD1625C53A866527D048CCB,80DE0CE5286E6C3DBF5212EB2E45D22A,45970261,SAMN45970261,Plant sample from Dioscorea alata,Dioscorea alata,China:guangzhou,China,guangzhou,,2020,,luhe,,tuber root,ok
SRR31829837,2024-12-26 04:57:07,2024-12-26 04:54:54,23218593,6965577900,23218593,300,2159,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31829/SRR31829837/SRR31829837.lite.1,SRX27190232,F1:xuwen,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP553840,PRJNA1203071,,1203071,SRS23641861,SAMN45970253,simple,55571,Dioscorea alata,F1:light,,,,,,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES,SRA2041212,,public,7D9E5A31C181696B623957531CE40585,22B058E2B76E5C409E5AA485A5BB11EE,45970253,SAMN45970253,Plant sample from Dioscorea alata,Dioscorea alata,China:guangzhou,China,guangzhou,,2020,,xuwen,,tuber root,ok
SRR31829836,2024-12-26 04:57:07,2024-12-26 04:54:50,22858669,6857600700,22858669,300,2079,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31829/SRR31829836/SRR31829836.lite.1,SRX27190233,F2:xuwen,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP553840,PRJNA1203071,,1203071,SRS23641862,SAMN45970254,simple,55571,Dioscorea alata,F2:light,,,,,,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES,SRA2041212,,public,EBB1F1E6A8C333DD2E12603318868114,DB69EFF1874C5C688831EAFD49FD3211,45970254,SAMN45970254,Plant sample from Dioscorea alata,Dioscorea alata,China:guangzhou,China,guangzhou,,2020,,xuwen,,tuber root,ok
SRR31829835,2024-12-26 04:57:07,2024-12-26 04:54:56,23790816,7137244800,23790816,300,2190,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31829/SRR31829835/SRR31829835.lite.1,SRX27190234,F3:xuwen,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP553840,PRJNA1203071,,1203071,SRS23641863,SAMN45970255,simple,55571,Dioscorea alata,F3:light,,,,,,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES,SRA2041212,,public,56C46864070EE7530A7C19DCE11C75B0,3FABC62FF9C8778EAD3114081DD7EB4C,45970255,SAMN45970255,Plant sample from Dioscorea alata,Dioscorea alata,China:guangzhou,China,guangzhou,,2020,,xuwen,,tuber root,ok
SRR31829834,2024-12-26 04:57:07,2024-12-26 04:55:05,23635184,7090555200,23635184,300,2168,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31829/SRR31829834/SRR31829834.lite.1,SRX27190235,P1:xuwen,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP553840,PRJNA1203071,,1203071,SRS23641864,SAMN45970256,simple,55571,Dioscorea alata,P1:normal growth,,,,,,,no,,,,,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES,SRA2041212,,public,D7628425FE30239B1B44B3ACD575F934,1D1A96A82230DFE354BB9044764EF5A1,45970256,SAMN45970256,Plant sample from Dioscorea alata,Dioscorea alata,China:guangzhou,China,guangzhou,,2020,,xuwen,,tuber root,ok
SRR29924321,2024-07-28 00:05:32,2024-07-23 05:50:17,31758442,9527532600,31758442,300,2507,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29924/SRR29924321/SRR29924321.lite.1,SRX25418332,M24144083aR1CL1A,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP521511,PRJNA1138298,,1138298,SRS22078617,SAMN42691524,simple,374975,Dioscorea composita,VIGS-DcWRKY11,,,,,,,no,,,,,SOUTH CHINA AGRICULTURAL UNIVERSITY,SRA1928652,,public,4A539FB14E715AA2D44D084A20C227A3,9B553CEA2AF0B69C494876CE4E063F48,42691524,SAMN42691524,Plant sample from Dioscorea composita,Dioscorea composita,China: guangzhou,China,guangzhou,,2024-07-10,Plant,,China,Leaf,ok
