Accession,Virus_name,Virus_genus,Virus_family
NC_055491.1,Yam chlorotic necrosis virus,Macluravirus,Potyviridae
NC_055506.1,Dioscorea mosaic virus,Potyvirus,Potyviridae
NC_075430.1,Dioscorea bacilliform virus,Badnavirus,Caulimoviridae
NC_076148.1,Papaya leaf curl betasatellite,Betasatellite caricae,
NC_076205.1,Dioscorea bacilliform RT virus,Badnavirus,Caulimoviridae
NC_076495.1,Yam asymptomatic virus 1,Ampelovirus,Closteroviridae
NC_076962.1,Tomato leaf curl Pakistan betasatellite,Betasatellite solanipakistanense,
NC_038381.1,Dioscorea bacilliform AL virus,Badnavirus,Caulimoviridae
NC_038561.1,Yam chlorotic necrotic mosaic virus,Macluravirus,Potyviridae
NC_038986.1,Dioscorea bacilliform RT virus 1,Badnavirus,Caulimoviridae
NC_038987.1,Dioscorea bacilliform RT virus 2,Badnavirus,Caulimoviridae
NC_038995.1,Dioscorea bacilliform TR virus,Badnavirus,Caulimoviridae
NC_040712.1,Dioscorea nummularia-associated virus,Dioscovirus,Caulimoviridae
NC_040825.1,Cluster bean endornavirus 1,Cluster bean endornavirus 1,unclassified Endornaviridae
NC_055177.1,Air potato virus 1,Ampelovirus,Closteroviridae
NC_018455.1,Chinese yam necrotic mosaic virus,Macluravirus,Potyviridae
NC_019412.1,Yam mild mosaic virus,Potyvirus,Potyviridae
NC_022895.1,Yam spherical virus,Procedovirinae,Tombusviridae
NC_025252.1,Yam virus X,Potexvirus,Alphaflexiviridae
NC_026248.1,Yam latent virus,Quinvirinae,Betaflexiviridae
NC_027212.1,Camponotus yamaokai virus,Insevirus,Inseviridae
NC_031763.1,Dioscorea mosaic associated virus,Sadwavirus,Secoviridae
NC_016003.1,Tamus red mosaic virus,Potexvirus,Alphaflexiviridae
NC_003003.1,Broad bean wilt virus 2,Comovirinae,Secoviridae
NC_005289.1,Broad bean wilt virus 1,Comovirinae,Secoviridae
NC_055493.1,Alpinia oxyphylla mosaic virus,Macluravirus,Potyviridae
NC_038560.1,Broad-leafed dock virus A,Macluravirus,Potyviridae
NC_039088.1,Cardamom mosaic virus,Macluravirus,Potyviridae
NC_043132.1,Alpinia mosaic virus,Macluravirus,Potyviridae
NC_043133.1,Maclura mosaic virus,Macluravirus,Potyviridae
NC_043134.1,Narcissus latent virus,Macluravirus,Potyviridae
NC_026759.1,Artichoke latent virus,Macluravirus,Potyviridae
NC_055470.1,Gomphocarpus mosaic virus,Potyvirus,Potyviridae
NC_055483.1,East Asian Passiflora distortion virus,Potyvirus,Potyviridae
NC_055496.1,Mashua virus Y,Potyvirus,Potyviridae
NC_055503.1,Platycodon mild mottle virus,Potyvirus,Potyviridae
NC_055520.1,Dendrobium chlorotic mosaic virus,Potyvirus,Potyviridae
NC_055568.1,Costus stripe mosaic virus,Potyvirus,Potyviridae
NC_055585.1,Noni mosaic virus,Potyvirus,Potyviridae
NC_055600.1,Paris virus 1,Potyvirus,Potyviridae
NC_055601.1,Begonia flower breaking virus,Potyvirus,Potyviridae
NC_076243.1,Passionfruit Vietnam virus,Potyvirus,Potyviridae
NC_076338.1,Ugandan passiflora virus,Potyvirus,Potyviridae
NC_076610.1,Pleioblastus mosaic virus,Potyvirus,Potyviridae
NC_076863.1,Ashitaba mosaic virus,Potyvirus,Potyviridae
NC_076883.1,Mirabilis crinkle mosaic virus,Potyvirus,Potyviridae
NC_076902.1,Achyranthes virus A,Potyvirus,Potyviridae
NC_076904.1,Pennisetum alopecuroides mosaic virus,Potyvirus,Potyviridae
NC_076997.1,Ornithogalum mosaic virus,Potyvirus,Potyviridae
NC_077005.1,Anemone mosaic virus,Potyvirus,Potyviridae
NC_077007.1,Thladiantha dubia mosaic virus,Potyvirus,Potyviridae
NC_077059.1,Amomum potyvirus A,Potyvirus,Potyviridae
NC_077072.1,Clivia yellow stripe virus,Potyvirus,Potyviridae
NC_077104.1,Marigold mosaic virus,Potyvirus,Potyviridae
NC_077118.1,Scorzonera virus A,Potyvirus,Potyviridae
NC_034208.1,Sunflower ring blotch virus,Potyvirus,Potyviridae
NC_034273.1,Endive necrotic mosaic virus,Potyvirus,Potyviridae
NC_035134.1,Cucurbit vein banding virus,Potyvirus,Potyviridae
NC_035458.1,Wild melon vein banding virus,Potyvirus,Potyviridae
NC_035459.1,Sudan watermelon mosaic virus,Potyvirus,Potyviridae
NC_036802.1,Saffron latent virus,Potyvirus,Potyviridae
NC_037051.1,Hyacinth mosaic virus,Potyvirus,Potyviridae
NC_038562.1,Gloriosa stripe mosaic virus,Potyvirus,Potyviridae
NC_038563.1,Sweet potato mild speckling virus,Potyvirus,Potyviridae
NC_038984.1,Daphne virus Y,Potyvirus,Potyviridae
NC_040650.1,Pleione flower breaking virus,Potyvirus,Potyviridae
NC_040802.1,Lily yellow mosaic virus,Potyvirus,Potyviridae
NC_043135.1,Alstroemeria mosaic virus,Potyvirus,Potyviridae
NC_043136.1,Alternanthera mild mosaic virus,Potyvirus,Potyviridae
NC_043137.1,Amazon lily mosaic virus,Potyvirus,Potyviridae
NC_043138.1,Angelica virus Y,Potyvirus,Potyviridae
NC_043139.1,Araujia mosaic virus,Potyvirus,Potyviridae
NC_043140.1,Calanthe mild mosaic virus,Potyvirus,Potyviridae
NC_043141.1,Carnation vein mottle virus,Potyvirus,Potyviridae
NC_043142.1,Carrot virus Y,Potyvirus,Potyviridae
NC_043143.1,Ceratobium mosaic virus,Potyvirus,Potyviridae
NC_043144.1,Chinese artichoke mosaic virus,Potyvirus,Potyviridae
NC_043145.1,Clitoria virus Y,Potyvirus,Potyviridae
NC_043146.1,Cypripedium virus Y,Potyvirus,Potyviridae
NC_043147.1,Diuris virus Y,Potyvirus,Potyviridae
NC_043148.1,Hibbertia virus Y,Potyvirus,Potyviridae
NC_043149.1,Iris mild mosaic virus,Potyvirus,Potyviridae
NC_043150.1,Kalanchoe mosaic virus,Potyvirus,Potyviridae
NC_043151.1,Lycoris mild mottle virus,Potyvirus,Potyviridae
NC_043152.1,Meadow saffron breaking virus,Potyvirus,Potyviridae
NC_043153.1,Nerine yellow stripe virus,Potyvirus,Potyviridae
NC_043154.1,Ornithogalum virus 2,Potyvirus,Potyviridae
NC_043155.1,Ornithogalum virus 3,Potyvirus,Potyviridae
NC_043156.1,Passiflora chlorosis virus,Potyvirus,Potyviridae
NC_043157.1,Pfaffia mosaic virus,Potyvirus,Potyviridae
NC_043158.1,Pleione virus Y,Potyvirus,Potyviridae
NC_043159.1,Ranunculus leaf distortion virus,Potyvirus,Potyviridae
NC_043160.1,Ranunculus mild mosaic virus,Potyvirus,Potyviridae
NC_043161.1,Ranunculus mosaic virus,Potyvirus,Potyviridae
NC_043162.1,Rhopalanthe virus Y,Potyvirus,Potyviridae
NC_043163.1,Sarcochilus virus Y,Potyvirus,Potyviridae
NC_043164.1,Spiranthes mosaic virus 3,Potyvirus,Potyviridae
NC_043165.1,Sunflower mosaic virus,Potyvirus,Potyviridae
NC_043166.1,Tradescantia mild mosaic virus,Potyvirus,Potyviridae
NC_043167.1,Tuberose mild mosaic virus,Potyvirus,Potyviridae
NC_043168.1,Tulip breaking virus,Potyvirus,Potyviridae
NC_043169.1,Twisted-stalk chlorotic streak virus,Potyvirus,Potyviridae
NC_043170.1,Vallota mosaic virus,Potyvirus,Potyviridae
NC_043171.1,Watermelon leaf mottle virus,Potyvirus,Potyviridae
NC_043172.1,Zucchini shoestring virus,Potyvirus,Potyviridae
NC_043173.1,Zucchini yellow fleck virus,Potyvirus,Potyviridae
NC_043420.1,Amaranthus leaf mottle virus,Potyvirus,Potyviridae
NC_043421.1,Butterfly flower mosaic virus,Potyvirus,Potyviridae
NC_043422.1,Henbane mosaic virus,Potyvirus,Potyviridae
NC_043423.1,Potyvirus malvae,Potyvirus,Potyviridae
NC_043424.1,Tuberose mild mottle virus,Potyvirus,Potyviridae
NC_043425.1,Tulip mosaic virus,Potyvirus,Potyviridae
NC_043532.1,Paris mosaic necrosis virus,Potyvirus,Potyviridae
NC_043536.1,Mediterranean ruda virus,Potyvirus,Potyviridae
NC_043537.1,African eggplant mosaic virus,Potyvirus,Potyviridae
NC_018093.1,Sweet potato virus G,Potyvirus,Potyviridae
NC_018176.1,Arracacha mottle virus,Potyvirus,Potyviridae
NC_018833.1,Iranian johnsongrass mosaic virus,Potyvirus,Potyviridae
NC_018872.2,Pokeweed mosaic virus,Potyvirus,Potyviridae
NC_019415.1,Blue squill virus A,Potyvirus,Potyviridae
NC_020072.1,Colombian datura virus,Potyvirus,Potyviridae
NC_020105.1,Brugmansia mosaic virus,Potyvirus,Potyviridae
NC_020896.1,Sweet potato latent virus,Potyvirus,Potyviridae
NC_021065.1,Sunflower mild mosaic virus,Potyvirus,Potyviridae
NC_021197.1,Donkey orchid virus A,Potyvirus,Potyviridae
NC_021786.1,Habenaria mosaic virus,Potyvirus,Potyviridae
NC_023014.1,Bidens mosaic virus,Potyvirus,Potyviridae
NC_023175.1,Zucchini tigre mosaic virus,Potyvirus,Potyviridae
NC_023628.1,Narcissus late season yellows virus,Potyvirus,Potyviridae
NC_025250.1,Vanilla distortion mosaic virus,Potyvirus,Potyviridae
NC_025254.1,Carrot thin leaf virus,Potyvirus,Potyviridae
NC_025821.1,Asparagus virus 1,Potyvirus,Potyviridae
NC_026615.1,Tamarillo leaf malformation virus,Potyvirus,Potyviridae
NC_027210.1,Catharanthus mosaic virus,Potyvirus,Potyviridae
NC_027706.1,Lettuce Italian necrotic virus,Potyvirus,Potyviridae
NC_029051.1,Jasmine virus T,Potyvirus,Potyviridae
NC_029076.1,Iris severe mosaic virus,Potyvirus,Potyviridae
NC_030118.1,Tobacco mosqueado virus,Potyvirus,Potyviridae
NC_030236.1,Impatiens flower break virus,Potyvirus,Potyviridae
NC_030293.1,Pecan mosaic-associated virus,Potyvirus,Potyviridae
NC_030391.1,Wild onion symptomless virus,Potyvirus,Potyviridae
NC_030794.1,Callistephus mottle virus,Potyvirus,Potyviridae
NC_030847.1,Barbacena virus Y,Potyvirus,Potyviridae
NC_031339.1,Euphorbia ringspot virus,Potyvirus,Potyviridae
NC_006262.1,Watermelon mosaic virus,Potyvirus,Potyviridae
NC_007147.1,Pennisetum mosaic virus,Potyvirus,Potyviridae
NC_007180.1,Thunberg fritillary mosaic virus,Potyvirus,Potyviridae
NC_007216.1,Wisteria vein mosaic virus,Potyvirus,Potyviridae
NC_007433.1,Shallot yellow stripe virus,Potyvirus,Potyviridae
NC_007728.1,East Asian Passiflora virus,Potyvirus,Potyviridae
NC_007913.1,Konjac mosaic virus,Potyvirus,Potyviridae
NC_008028.1,Daphne mosaic virus,Potyvirus,Potyviridae
NC_008393.1,Pepper severe mosaic virus,Potyvirus,Potyviridae
NC_008824.1,Narcissus degeneration virus,Potyvirus,Potyviridae
NC_009741.1,Basella rugose mosaic virus,Potyvirus,Potyviridae
NC_009742.1,Telosma mosaic virus,Potyvirus,Potyviridae
NC_009744.1,Wild tomato mosaic virus,Potyvirus,Potyviridae
NC_009745.1,Banana bract mosaic virus,Potyvirus,Potyviridae
NC_009994.1,Tobacco vein banding mosaic virus,Potyvirus,Potyviridae
NC_009995.1,Moroccan watermelon mosaic virus,Potyvirus,Potyviridae
NC_010735.1,Verbena virus Y,Potyvirus,Potyviridae
NC_010736.1,Potyvirus algeriaense,Potyvirus,Potyviridae
NC_010954.1,Fritillary virus Y,Potyvirus,Potyviridae
NC_011541.1,Narcissus yellow stripe virus,Potyvirus,Potyviridae
NC_011560.1,Zantedeschia mild mosaic virus,Potyvirus,Potyviridae
NC_011918.1,Pepper veinal mottle virus,Potyvirus,Potyviridae
NC_013261.1,Canna yellow streak virus,Potyvirus,Potyviridae
NC_014038.1,Sunflower chlorotic mottle virus,Potyvirus,Potyviridae
