acc,tax_id,rank,name,total_count,self_count,ilevel,ileft,iright
DRR045124,10239,superkingdom,Viruses,2189,34,1,2984,3116
DRR045124,2731341,,Duplodnaviria,2040,0,2,2984,3055
DRR045124,2731360,kingdom,Heunggongvirae,2040,0,3,2984,3054
DRR045124,2731618,phylum,Uroviricota,1970,0,4,2984,3042
DRR045124,2731619,class,Caudoviricetes,1970,576,5,2984,3041
DRR045124,2788787,,unclassified Caudoviricetes,1071,154,6,2984,3000
DRR045124,2832643,species,Caudoviricetes sp.,662,662,7,2984,2984
DRR045124,1572712,species,Geobacillus virus E3,120,120,7,2985,2985
DRR045124,1971436,species,Streptococcus phage P7951,44,44,7,2986,2986
DRR045124,749413,species,Deep-sea thermophilic phage D6E,16,16,7,2987,2987
DRR045124,2825047,species,Myoviridae sp. ctBrv3,14,14,7,2988,2988
DRR045124,2985566,species,Geobacillus phage vB_GthS_PK5.1,12,12,7,2989,2989
DRR045124,148943,species,Rhodothermus phage RM378,10,10,7,2990,2990
DRR045124,2202568,species,Caudoviricetes sp.,9,9,7,2991,2991
DRR045124,447909,species,Geobacillus virus E2,8,8,7,2992,2992
DRR045124,2827830,species,Siphoviridae sp. ctHip2,7,7,7,2993,2993
DRR045124,2825403,species,Siphoviridae sp. ctFKD2,6,6,7,2994,2994
DRR045124,2825343,species,Siphoviridae sp. ct6YY1,4,4,7,2995,2995
DRR045124,2492466,species,Streptococcus phage CHPC1198,2,2,7,2996,2996
DRR045124,2853976,species,Pseudomonas phage vB_PaeM_phiLBG22,2,2,7,2997,2997
DRR045124,2985567,species,Geobacillus phage vB_GthS_PK5.2,1,1,7,2998,2998
DRR045124,2560065,family,Herelleviridae,151,0,6,3000,3009
DRR045124,2560081,subfamily,Twortvirinae,151,0,7,3000,3008
DRR045124,1980928,genus,Sepunavirus,151,92,8,3000,3007
DRR045124,2315193,,unclassified Sepunavirus,48,45,9,3000,3002
DRR045124,2234037,species,Staphylococcus phage Twillingate,3,3,10,3000,3000
DRR045124,1980930,species,Sepunavirus SEP1,6,0,9,3002,3004
DRR045124,1340769,,Staphylococcus phage phiIBB-SEP1,6,6,10,3002,3002
DRR045124,1980931,species,Sepunavirus IPLAC1C,5,0,9,3004,3006
DRR045124,1572704,,Staphylococcus phage phiIPLA-C1C,5,5,10,3004,3004
DRR045124,1982251,genus,Pahexavirus,51,46,6,3009,3012
DRR045124,1982265,species,Pahexavirus P100A,5,0,7,3009,3011
DRR045124,1229790,,Propionibacterium phage P100_A,5,5,8,3009,3009
DRR045124,2843419,genus,Marfavirus,35,0,6,3012,3015
DRR045124,2852561,,unclassified Marfavirus,35,0,7,3012,3014
DRR045124,2601625,species,Klebsiella phage EI,35,35,8,3012,3012
DRR045124,1623305,genus,Skunavirus,21,21,6,3015,3015
DRR045124,2169656,genus,Saundersvirus,17,0,6,3016,3021
DRR045124,2594692,,unclassified Saundersvirus,11,0,7,3016,3018
DRR045124,2985563,species,Geobacillus phage vB_GthS_PK2.1,11,11,8,3016,3016
DRR045124,2170234,species,Saundersvirus Tp84,6,0,7,3018,3020
DRR045124,1965361,,Geobacillus phage TP-84,6,6,8,3018,3018
DRR045124,2169625,genus,Svunavirus,15,0,6,3021,3024
DRR045124,2170221,species,Svunavirus GBSV1,15,0,7,3021,3023
DRR045124,365048,,Geobacillus phage GBSV1,15,15,8,3021,3021
DRR045124,1922243,genus,Sextaecvirus,12,0,6,3024,3029
DRR045124,1922247,species,Sextaecvirus SEP9,9,0,7,3024,3026
DRR045124,1434319,,Staphylococcus phage vB_SepS_SEP9,9,9,8,3024,3024
DRR045124,2268047,,unclassified Sextaecvirus,3,0,7,3026,3028
DRR045124,2750285,species,Staphylococcus phage vB_SepS_BE02,3,3,8,3026,3026
DRR045124,2843398,genus,Kamchatkavirus,9,0,6,3029,3032
DRR045124,2843645,species,Kamchatkavirus AP45,9,0,7,3029,3031
DRR045124,1913112,,Aeribacillus phage AP45,9,9,8,3029,3029
DRR045124,2560176,genus,Mimasvirus,5,0,6,3032,3035
DRR045124,2788367,,unclassified Mimasvirus,5,0,7,3032,3034
DRR045124,2978503,species,Xanthomonas phage XbC2,5,5,8,3032,3032
DRR045124,1978007,order,Crassvirales,4,0,6,3035,3038
DRR045124,2949298,,unclassified Crassvirales,4,0,7,3035,3037
DRR045124,2831617,species,CrAss-like virus sp.,4,4,8,3035,3035
DRR045124,1623304,genus,Moineauvirus,3,0,6,3038,3040
DRR045124,2231643,,unclassified Moineauvirus,3,3,7,3038,3038
DRR045124,2731361,phylum,Peploviricota,70,0,4,3042,3053
DRR045124,2731363,class,Herviviricetes,70,0,5,3042,3052
DRR045124,548681,order,Herpesvirales,70,0,6,3042,3051
DRR045124,10292,family,Herpesviridae,70,0,7,3042,3050
DRR045124,10374,subfamily,Gammaherpesvirinae,54,0,8,3042,3045
DRR045124,10375,genus,Lymphocryptovirus,54,0,9,3042,3044
DRR045124,10376,species,Human gammaherpesvirus 4,54,54,10,3042,3042
DRR045124,10357,subfamily,Betaherpesvirinae,15,0,8,3045,3048
DRR045124,10358,genus,Cytomegalovirus,15,0,9,3045,3047
DRR045124,10359,species,Human betaherpesvirus 5,15,15,10,3045,3045
DRR045124,10293,subfamily,Alphaherpesvirinae,1,1,8,3048,3048
DRR045124,2559587,,Riboviria,65,0,2,3055,3086
DRR045124,2732396,kingdom,Orthornavirae,53,0,3,3055,3076
DRR045124,2732406,phylum,Kitrinoviricota,45,0,4,3055,3068
DRR045124,2732461,class,Alsuviricetes,45,0,5,3055,3067
DRR045124,2732544,order,Martellivirales,23,0,6,3055,3062
