Sample	Contig	Percent_identity	Contig_length	Reference_length	RefCoverage	E-value	Reference_name	Species	blastType
DRR208398	NODE_206_length_7640_cov_362.414881	93.1	7640	1816	1.000551	0.00e+00	acc|GENBANK|QCT25584.1|GENBANK|MK782911|polyprotein [Yam virus Y]	Yam virus Y	Blastx
DRR208398	NODE_668_length_4261_cov_1138.931646	91.6	4261	1887	0.752517	0.00e+00	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208398	NODE_617_length_2867_cov_190.156316	99.2	2867	3103	0.296487	0.00e+00	acc|GENBANK|UOF93224.1|NEIGHBOR|OM471973|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208398	NODE_618_length_2844_cov_376.113838	97.1	2844	3103	0.296487	0.00e+00	acc|GENBANK|UOF93099.1|NEIGHBOR|OL584358|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208398	NODE_774_length_2791_cov_928.908629	94.4	2791	1887	0.492846	0.00e+00	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208398	NODE_736_length_2563_cov_1047.142688	95.7	2563	1887	0.452570	0.00e+00	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208398	NODE_664_length_2674_cov_1348.441878	91.8	2674	1196	0.741639	0.00e+00	acc|REFSEQ|YP_009316179.1|REFSEQ|NC_031763|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208398	NODE_149_length_2006_cov_744.222504	84.4	2006	1196	0.558528	0.00e+00	acc|REFSEQ|YP_009316179.1|REFSEQ|NC_031763|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208398	NODE_669_length_1705_cov_1372.980263	96.5	1705	1887	0.301007	0.00e+00	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208398	NODE_651_length_1681_cov_694.074636	95.9	1681	1887	0.296767	0.00e+00	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208398	NODE_765_length_1658_cov_2006.692923	95.7	1658	1887	0.292528	0.00e+00	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
