Sample	RefId	MappedReads	PercentGenomeCovered	MeanCoverage	PassFilter	ConsensusFile
DRR045125	NC_000947.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_000947.1.consensus.fasta
DRR045125	NC_001445.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_001445.1.consensus.fasta
DRR045125	NC_001616.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_001616.1.consensus.fasta
DRR045125	NC_001721.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_001721.1.consensus.fasta
DRR045125	NC_001777.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_001777.1.consensus.fasta
DRR045125	NC_001812.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_001812.1.consensus.fasta
DRR045125	NC_001841.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_001841.1.consensus.fasta
DRR045125	NC_002509.2	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_002509.2.consensus.fasta
DRR045125	NC_003003.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_003003.1.consensus.fasta
DRR045125	NC_003004.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_003004.1.consensus.fasta
DRR045125	NC_003492.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_003492.1.consensus.fasta
DRR045125	NC_004011.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_004011.1.consensus.fasta
DRR045125	NC_004667.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_004667.1.consensus.fasta
DRR045125	NC_004706.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_004706.1.consensus.fasta
DRR045125	NC_004752.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_004752.1.consensus.fasta
DRR045125	NC_005289.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_005289.1.consensus.fasta
DRR045125	NC_005290.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_005290.1.consensus.fasta
DRR045125	NC_009010.1	17	5.83	0.1438	False	/data/output/mapping/map2Ref/DRR045125/NC_009010.1.consensus.fasta
DRR045125	NC_010538.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_010538.1.consensus.fasta
DRR045125	NC_011541.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_011541.1.consensus.fasta
DRR045125	NC_014742.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_014742.1.consensus.fasta
DRR045125	NC_016003.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_016003.1.consensus.fasta
DRR045125	NC_018093.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_018093.1.consensus.fasta
DRR045125	NC_018175.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_018175.1.consensus.fasta
DRR045125	NC_018455.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_018455.1.consensus.fasta
DRR045125	NC_019412.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_019412.1.consensus.fasta
DRR045125	NC_022895.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_022895.1.consensus.fasta
DRR045125	NC_025252.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_025252.1.consensus.fasta
DRR045125	NC_026248.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_026248.1.consensus.fasta
DRR045125	NC_027212.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_027212.1.consensus.fasta
DRR045125	NC_028111.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_028111.1.consensus.fasta
DRR045125	NC_031763.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_031763.1.consensus.fasta
DRR045125	NC_031766.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_031766.1.consensus.fasta
DRR045125	NC_034250.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_034250.1.consensus.fasta
DRR045125	NC_038381.1	82	32.90	0.9342	False	/data/output/mapping/map2Ref/DRR045125/NC_038381.1.consensus.fasta
DRR045125	NC_038561.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_038561.1.consensus.fasta
DRR045125	NC_038986.1	15	6.49	0.1633	False	/data/output/mapping/map2Ref/DRR045125/NC_038986.1.consensus.fasta
DRR045125	NC_038987.1	1	0.81	0.0081	False	/data/output/mapping/map2Ref/DRR045125/NC_038987.1.consensus.fasta
DRR045125	NC_038995.1	250	69.26	3.0341	False	/data/output/mapping/map2Ref/DRR045125/NC_038995.1.consensus.fasta
DRR045125	NC_040712.1	26	4.79	0.1997	False	/data/output/mapping/map2Ref/DRR045125/NC_040712.1.consensus.fasta
DRR045125	NC_040825.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_040825.1.consensus.fasta
DRR045125	NC_043084.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_043084.1.consensus.fasta
DRR045125	NC_043141.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_043141.1.consensus.fasta
DRR045125	NC_043146.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_043146.1.consensus.fasta
DRR045125	NC_043150.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_043150.1.consensus.fasta
DRR045125	NC_043159.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR045125/NC_043159.1.consensus.fasta
