Sample	RefId	MappedReads	PercentGenomeCovered	MeanCoverage	PassFilter	ConsensusFile
SRR22534742	NC_000947.1	290321	75.18	2837.3514	True	/data/output/mapping/map2Ref/SRR22534742/NC_000947.1.consensus.fasta
SRR22534742	NC_001445.1	17240	3.38	69.1082	False	/data/output/mapping/map2Ref/SRR22534742/NC_001445.1.consensus.fasta
SRR22534742	NC_001616.1	5	0.78	0.0392	False	/data/output/mapping/map2Ref/SRR22534742/NC_001616.1.consensus.fasta
SRR22534742	NC_001721.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_001721.1.consensus.fasta
SRR22534742	NC_001777.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_001777.1.consensus.fasta
SRR22534742	NC_001812.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_001812.1.consensus.fasta
SRR22534742	NC_001841.1	450	2.15	3.1923	False	/data/output/mapping/map2Ref/SRR22534742/NC_001841.1.consensus.fasta
SRR22534742	NC_002509.2	5747	2.89	38.6137	False	/data/output/mapping/map2Ref/SRR22534742/NC_002509.2.consensus.fasta
SRR22534742	NC_003003.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_003003.1.consensus.fasta
SRR22534742	NC_003004.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_003004.1.consensus.fasta
SRR22534742	NC_003492.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_003492.1.consensus.fasta
SRR22534742	NC_004011.1	23	1.49	0.1970	False	/data/output/mapping/map2Ref/SRR22534742/NC_004011.1.consensus.fasta
SRR22534742	NC_004667.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_004667.1.consensus.fasta
SRR22534742	NC_004706.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_004706.1.consensus.fasta
SRR22534742	NC_004752.1	8671	0.91	31.6023	False	/data/output/mapping/map2Ref/SRR22534742/NC_004752.1.consensus.fasta
SRR22534742	NC_005289.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_005289.1.consensus.fasta
SRR22534742	NC_005290.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_005290.1.consensus.fasta
SRR22534742	NC_009010.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_009010.1.consensus.fasta
SRR22534742	NC_010538.1	10146	8.15	60.5214	False	/data/output/mapping/map2Ref/SRR22534742/NC_010538.1.consensus.fasta
SRR22534742	NC_011541.1	23269	4.92	147.2445	False	/data/output/mapping/map2Ref/SRR22534742/NC_011541.1.consensus.fasta
SRR22534742	NC_014742.1	12888	2.22	109.0567	False	/data/output/mapping/map2Ref/SRR22534742/NC_014742.1.consensus.fasta
SRR22534742	NC_016003.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_016003.1.consensus.fasta
SRR22534742	NC_018093.1	182	1.82	0.9993	False	/data/output/mapping/map2Ref/SRR22534742/NC_018093.1.consensus.fasta
SRR22534742	NC_018175.1	3	0.95	0.0285	False	/data/output/mapping/map2Ref/SRR22534742/NC_018175.1.consensus.fasta
SRR22534742	NC_018455.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_018455.1.consensus.fasta
SRR22534742	NC_019412.1	12	1.32	0.1350	False	/data/output/mapping/map2Ref/SRR22534742/NC_019412.1.consensus.fasta
SRR22534742	NC_022895.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_022895.1.consensus.fasta
SRR22534742	NC_025252.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_025252.1.consensus.fasta
SRR22534742	NC_026248.1	879445	99.87	12392.3860	True	/data/output/mapping/map2Ref/SRR22534742/NC_026248.1.consensus.fasta
SRR22534742	NC_027212.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_027212.1.consensus.fasta
SRR22534742	NC_028111.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_028111.1.consensus.fasta
SRR22534742	NC_031763.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_031763.1.consensus.fasta
SRR22534742	NC_031766.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_031766.1.consensus.fasta
SRR22534742	NC_034250.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_034250.1.consensus.fasta
SRR22534742	NC_038381.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_038381.1.consensus.fasta
SRR22534742	NC_038561.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_038561.1.consensus.fasta
SRR22534742	NC_038986.1	1	1.08	0.0108	False	/data/output/mapping/map2Ref/SRR22534742/NC_038986.1.consensus.fasta
SRR22534742	NC_038987.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_038987.1.consensus.fasta
SRR22534742	NC_038995.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_038995.1.consensus.fasta
SRR22534742	NC_040712.1	24	10.97	0.2853	False	/data/output/mapping/map2Ref/SRR22534742/NC_040712.1.consensus.fasta
SRR22534742	NC_040825.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_040825.1.consensus.fasta
SRR22534742	NC_043084.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_043084.1.consensus.fasta
SRR22534742	NC_043141.1	12646	8.51	504.8448	False	/data/output/mapping/map2Ref/SRR22534742/NC_043141.1.consensus.fasta
SRR22534742	NC_043146.1	15288	11.63	809.7424	False	/data/output/mapping/map2Ref/SRR22534742/NC_043146.1.consensus.fasta
SRR22534742	NC_043150.1	16056	28.68	1589.8904	False	/data/output/mapping/map2Ref/SRR22534742/NC_043150.1.consensus.fasta
SRR22534742	NC_043159.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_043159.1.consensus.fasta
SRR22534742	NC_043160.1	6207	12.08	203.8766	False	/data/output/mapping/map2Ref/SRR22534742/NC_043160.1.consensus.fasta
SRR22534742	NC_043161.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_043161.1.consensus.fasta
SRR22534742	NC_043422.1	121	14.09	3.3050	False	/data/output/mapping/map2Ref/SRR22534742/NC_043422.1.consensus.fasta
SRR22534742	NC_055177.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_055177.1.consensus.fasta
SRR22534742	NC_055491.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_055491.1.consensus.fasta
SRR22534742	NC_055506.1	10637	0.61	34.6800	False	/data/output/mapping/map2Ref/SRR22534742/NC_055506.1.consensus.fasta
SRR22534742	NC_075430.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_075430.1.consensus.fasta
SRR22534742	NC_075431.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_075431.1.consensus.fasta
SRR22534742	NC_076148.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_076148.1.consensus.fasta
SRR22534742	NC_076205.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_076205.1.consensus.fasta
SRR22534742	NC_076449.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_076449.1.consensus.fasta
SRR22534742	NC_076495.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_076495.1.consensus.fasta
SRR22534742	NC_076962.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR22534742/NC_076962.1.consensus.fasta
