Sample	Contig	Percent_identity	Contig_length	Reference_length	RefCoverage	E-value	Reference_name	Species	blastType
SRR23826112	NODE_23312_length_2094_cov_11.488598	97.1	2094	1064	0.624060	0.00e+00	acc|GENBANK|ANF06856.1|NEIGHBOR|KU309314|polyprotein [Broad bean wilt virus 2]	Broad bean wilt virus 2	Blastx
SRR23826112	NODE_20798_length_1812_cov_6.326026	98.0	1812	1870	0.317112	0.00e+00	acc|GENBANK|ALP92126.1|NEIGHBOR|KT246495|precursor polyprotein [Broad bean wilt virus 2]	Broad bean wilt virus 2	Blastx
SRR23826112	NODE_32245_length_1700_cov_5.514097	99.6	1700	609	0.865353	0.00e+00	acc|GENBANK|ABZ80149.1|NEIGHBOR|EU410304|beta-D-glucuronidase [synthetic Vaccinia virus]	synthetic Vaccinia virus	Blastx
SRR23826112	NODE_3520_length_2463_cov_184.859671	77.3	2463	700	0.987143	0.00e+00	acc|GENBANK|ABY48141.1|GENBANK|EU306659|oligopeptidase A [Medicago truncatula]	Medicago truncatula	Blastx
SRR23826112	NODE_1274_length_3357_cov_35.186823	52.7	3357	1263	0.746635	0.00e+00	acc|GENBANK|AAL14452.1|GENBANK|AF397035|valyl-tRNA-synthetase G7a/Bat6 [Mus musculus]	Mus musculus	Blastx
SRR23826112	NODE_3513_length_1937_cov_53.012080	86.1	1937	518	1.001931	0.00e+00	acc|GENBANK|ABY48142.1|GENBANK|EU306659|serine-hydroxymethyltransferase [Medicago truncatula]	Medicago truncatula	Blastx
SRR23826112	NODE_4549_length_1788_cov_14.893447	99.3	1788	402	1.000000	4.02e-291	acc|GENBANK|AAL89278.1|GENBANK|AF440570|WSSV410 [Shrimp white spot syndrome virus]	Shrimp white spot syndrome virus	Blastx
SRR23826112	NODE_36052_length_2267_cov_164.371531	59.7	2267	623	1.008026	5.13e-271	acc|GENBANK|BAL14837.1|GENBANK|AB682995|endo-1,4-b-D-glucanase [Oryza sativa Japonica Group]	Oryza sativa Japonica Group	Blastx
SRR23826112	NODE_36994_length_2273_cov_22.339732	64.3	2273	656	0.939024	3.16e-266	acc|GENBANK|QDY51980.1|GENBANK|MK250086|Hsp70 protein [Mimiviridae sp. ChoanoV1]	Mimiviridae sp. ChoanoV1	Blastx
SRR23826112	NODE_14286_length_1029_cov_4.182731	100	1029	1019	0.335623	1.01e-250	acc|GENBANK|ABZ80022.1|NEIGHBOR|EU410304|beta-D-galactosidase [synthetic Vaccinia virus]	synthetic Vaccinia virus	Blastx
SRR23826112	NODE_29155_length_1253_cov_24.453279	89.7	1253	2466	0.169100	1.13e-248	acc|GENBANK|AOZ57106.1|GENBANK|KX608896|Serine threonine-protein kinase TOR [Saccharum hybrid cultivar R570]	Saccharum hybrid cultivar R570	Blastx
SRR23826112	NODE_34829_length_1827_cov_78.735229	67.9	1827	601	0.896839	1.69e-248	acc|GENBANK|AAB62581.1|GENBANK|U68072|3-hydroxy-3-methylglutaryl CoA reductase 2 [Solanum lycopersicum]	Solanum lycopersicum	Blastx
SRR23826112	NODE_3474_length_1406_cov_74.313911	85.5	1406	388	0.994845	2.08e-243	acc|GENBANK|AAU93529.1|GENBANK|AY691949|alcohol dehydrogenase 1 [Zea mays]	Zea mays	Blastx
SRR23826112	NODE_3739_length_1931_cov_48.703899	67.0	1931	478	1.046025	3.61e-240	acc|GENBANK|AAK84479.1|GENBANK|AF275345|putative auxin growth promotor protein [Solanum lycopersicum]	Solanum lycopersicum	Blastx
