QueryId	Sample	RefId	Status	BlastType	BlastHitAccession	BlastEvalue	BlastIdentity	BlastQueryCoverage	BlastDescription	XmlFile	Error
SRR17635184|NC_000947.1	SRR17635184	NC_000947.1	hit	consensus.blastn.online	NC_000947	0.0	94.33	100.0	Japanese yam mosaic virus, complete genome	/data/output/report/ncbiBlast/xml/SRR17635184_NC_000947.1.xml	
SRR17635184|NC_003003.1	SRR17635184	NC_003003.1	hit	consensus.blastn.online	NC_003003	0.0	97.77	100.0	Broad bean wilt virus 2 RNA 1, complete sequence	/data/output/report/ncbiBlast/xml/SRR17635184_NC_003003.1.xml	
SRR17635184|NC_003004.1	SRR17635184	NC_003004.1	hit	consensus.blastn.online	NC_003004	0.0	92.93	100.0	Broad bean wilt virus 2 RNA 2, complete sequence	/data/output/report/ncbiBlast/xml/SRR17635184_NC_003004.1.xml	
SRR17635184|NC_026248.1	SRR17635184	NC_026248.1	hit	consensus.blastn.online	NC_026248	0.0	93.05	100.0	Yam latent virus isolate SG1, complete genome	/data/output/report/ncbiBlast/xml/SRR17635184_NC_026248.1.xml	
SRR17635184|NC_040712.1	SRR17635184	NC_040712.1	hit	consensus.blastn.online	NC_040712	0.0	99.25	100.0	Dioscorea nummularia-associated virus, complete genome	/data/output/report/ncbiBlast/xml/SRR17635184_NC_040712.1.xml	
SRR17635184|NC_043141.1	SRR17635184	NC_043141.1	hit	consensus.blastn.online	NC_043141	0.0	99.23	100.0	Carnation vein mottle virus gene for plyprotein, partial cds and 3'-terminal region	/data/output/report/ncbiBlast/xml/SRR17635184_NC_043141.1.xml	
SRR17635184|NC_043146.1	SRR17635184	NC_043146.1	hit	consensus.blastn.online	NC_043146	0.0	99.21	100.0	Cypripedium virus Y isolate CP polyprotein gene, partial cds	/data/output/report/ncbiBlast/xml/SRR17635184_NC_043146.1.xml	
SRR17635184|NC_043150.1	SRR17635184	NC_043150.1	hit	consensus.blastn.online	NC_043150	0.0	98.25	100.0	Kalanchoe mosaic virus isolate F39 polyprotein gene, partial cds	/data/output/report/ncbiBlast/xml/SRR17635184_NC_043150.1.xml	
SRR17635184|NC_043160.1	SRR17635184	NC_043160.1	hit	consensus.blastn.online	NC_043160	0.0	99.48	100.0	Ranunculus mild mosaic virus polyprotein gene, partial cds	/data/output/report/ncbiBlast/xml/SRR17635184_NC_043160.1.xml	
SRR17635184|NC_043422.1	SRR17635184	NC_043422.1	hit	consensus.blastn.online	NC_043422	0.0	99.88	100.0	Henbane mosaic virus partial gene for polyprotein, genomic RNA, isolate PHYS/H	/data/output/report/ncbiBlast/xml/SRR17635184_NC_043422.1.xml	
